Codigo,Descripcion,Stock_Min_Definido,Stock_Max_Definido,Stock_Admin_Calculado,Total_en_Lotes,Diferencia_Fisica
MP01N00X099                   ,PULPA DE PARCHITA CON SEMILLA KG,0.0,0.0,567.1495,111.9325,111.9325
MP01N00X084                   ,CONCHAS DE NARANJA MACERADAS,0.0,0.0,849.03792,101.67512,101.67512
ME06N00X001                   ,CINTA DE EMBALAR,0.0,0.0,65628.90833,74.71707,74.71707
PT01D45X001                   ,"Delicias de Belén Mermelada Auyama, Naranja y Jemgibre 200g",0.0,0.0,143.0,71.0,71.0
MP01N00X096                   ,PULPA DE PARCHITA SIN SEMILLA  KG,0.0,0.0,5467.87,68.69,68.69
MP04N00X003                   ,ACIDO ASCORBICO KG,0.0,0.0,78.34055,68.51578,68.51578
MP04N00X008                   ,SORBATO DE POTASIO KG,0.0,0.0,59.64,63.6,63.6
PT01D43X001                   ,Delicias de Belén Mermelada Pimentón 200g,0.0,0.0,63.0,62.0,62.0
ME03D19X001                   ,ETIQUETA MERMELADA DE AUYAMA PREMIUM 200 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,52.0,48.0,48.0
MP01D01X02                    ,Compuesto 02,0.0,0.0,1177.0,45.0,45.0
PT04D43X001                   ,Delicias de Belén Mermelada Varietal Pimenton 250g,0.0,0.0,12105.0,44.0,44.0
MP01N00X117                   ,AJI PICANTE LICUADO SIN SEMILLAS KG,0.0,0.0,153.5399,29.4651,29.4651
MP01N00X069                   ,JENGIBRE  GRANEL 1 KG,0.0,0.0,73.34,29.06,29.06
MP01N00X060                   ,AUYAMA KG,0.0,0.0,3369.2,29.0,29.0
MP01P01X03                    ,Compuesto 03,0.0,0.0,320.0,28.0,28.0
NP10N00X028                   ,BOBINA STRETCH MANUAL,0.0,0.0,44.0,28.0,28.0
MP01N00X085                   ,CONCHA DE NARANJA EN JULIANAS,0.0,0.0,244.6,27.8,27.8
MP04N00X009                   ,BENZOATO DE SODIO KG,0.0,0.0,25.0,25.0,25.0
MP04N00X017                   ,MALTODEXTRINA KG,0.0,0.0,24.7,24.7,24.7
MP04N00X015                   ,POLIDEXTROSA KG,0.0,0.0,20.9,20.9,20.9
MP01N00X066                   ,AJI PICANTE KG,0.0,0.0,88.8,20.8,20.8
MP04N00X016                   ,ERITRITOL KG,0.0,0.0,19.66,19.66,19.66
ME05N00X012                   ,CARTUCHO DE TINTA,0.0,0.0,,16.0,16.0
MP01D01X20                    ,Compuesto 20,0.0,0.0,,12.0,12.0
MP01N00X132                   ,PASAS RUBIAS PICADAS KG,0.0,0.0,76.80375,11.80375,11.80375
MP01N00X123                   ,JENGIBRE RAYADO KG,0.0,0.0,82.41,6.53,6.53
MP01D16X01                    ,Compuesto 05,0.0,0.0,184.63607,6.30085,6.30085
MP01D17X12                    ,Compuesto 16,0.0,0.0,26.252,5.458,5.458
PT01D35X001                   ,Delicias de Belén Mermelada Guayaba 200g,0.0,0.0,486.0,5.0,5.0
MP01D45X13                    ,Compuesto 17,0.0,0.0,22.483,4.805,4.805
MP01N00X157                   ,CONCHAS DE NARANJA,0.0,0.0,448.2,4.6,4.6
MP01P01X04                    ,Compuesto 04,0.0,0.0,2020.0,4.00563,4.00563
MP01P01X28                    ,COMPUESTO 28- 356 KG,0.0,0.0,67.0,4.0,4.0
MP01N00X072                   ,CEBOLLA  KG,0.0,0.0,1444.8,4.0,4.0
MP01D01X01                    ,Compuesto 01,0.0,0.0,153.0,4.0,4.0
